id,full_name,web_name,team_name,position,now_cost,selected_by_percent,form,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,price_m
1,David Raya Martín,Raya,Arsenal,Goalkeeper,60,37.8,6.0,6.0,6,90,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.20,6.0
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,Goalkeeper,50,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5.0
3,Illan Meslier,Meslier,Arsenal,Goalkeeper,50,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5.0
4,Gabriel dos Santos Magalhães,Gabriel,Arsenal,Defender,80,29.6,5.0,5.0,5,90,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.20,8.0
5,Jurriën Timber,J.Timber,Arsenal,Defender,65,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,6.5
6,William Saliba,Saliba,Arsenal,Defender,60,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,6.0
7,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,Midfielder,55,0.7,3.0,3.0,3,90,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.06,0.11,0.17,0.20,5.5
8,Riccardo Calafiori,Calafiori,Arsenal,Defender,55,40.3,9.0,9.0,9,80,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.06,5.5
9,Piero Hincapié,Hincapie,Arsenal,Defender,55,1.7,1.0,1.0,1,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.15,5.5
10,Benjamin White,White,Arsenal,Defender,55,5.1,11.0,11.0,11,90,0,1,1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.18,0.21,0.39,0.20,5.5
11,Cristhian Mosquera,Mosquera,Arsenal,Defender,55,6.2,6.0,6.0,6,90,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.20,5.5
12,Bukayo Saka,Saka,Arsenal,Midfielder,95,9.9,9.0,9.0,9,67,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.64,0.08,0.72,0.06,9.5
13,Declan Rice,Rice,Arsenal,Midfielder,75,17.9,3.0,3.0,3,67,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.06,7.5
14,Eberechi Eze,Eze,Arsenal,Midfielder,65,2.0,1.0,1.0,1,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.15,6.5
15,Martin Ødegaard,Ødegaard,Arsenal,Midfielder,65,9.5,11.0,11.0,11,75,1,0,1,0,0,0,0,3,0.0,0.0,0.0,0.0,0.21,0.10,0.31,0.06,6.5
16,Noni Madueke,Madueke,Arsenal,Midfielder,65,0.3,1.0,1.0,1,22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.15,6.5
17,Mikel Merino Zazón,Merino,Arsenal,Midfielder,60,0.7,1.0,1.0,1,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.14,0.02,0.16,0.15,6.0
18,Gabriel Martinelli Silva,Martinelli,Arsenal,Midfielder,65,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,6.5
19,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,Midfielder,55,1.1,1.0,1.0,1,22,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.15,5.5
20,Max Dowman,Dowman,Arsenal,Midfielder,55,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5.5
22,Ethan Nwaneri,Nwaneri,Arsenal,Midfielder,55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5.5
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,Midfielder,55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5.5
24,Reiss Nelson,Nelson,Arsenal,Midfielder,55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5.5
25,Viktor Gyökeres,Gyökeres,Arsenal,Forward,75,8.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,7.5
26,Kai Havertz,Havertz,Arsenal,Forward,75,6.2,6.0,6.0,6,90,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.26,0.03,0.29,0.20,7.5
27,Gabriel Fernando de Jesus,G.Jesus,Arsenal,Forward,60,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,6.0
31,Ezri Konsa Ngoyo,Konsa,Arsenal,Defender,45,12.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,4.5
452,Bruno Guimarães Rodriguez Moura,Bruno G.,Arsenal,Midfielder,70,3.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,7.0
557,Christos Tzolis,Tzolis,Arsenal,Midfielder,65,25.4,6.0,6.0,6,75,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.19,0.14,0.33,0.06,6.5
28,Emiliano Martínez Romero,Martinez,Aston Villa,Goalkeeper,50,4.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5.0
29,Marco Bizot,M.Bizot,Aston Villa,Goalkeeper,45,0.1,1.0,1.0,1,90,0,0,0,4,0,0,3,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,3.77,4.5
30,Lucas Digne,Digne,Aston Villa,Defender,45,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,4.5
32,Matty Cash,Cash,Aston Villa,Defender,45,8.7,-1.0,-1.0,-1,90,0,0,0,4,1,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,3.77,4.5
33,Tyrone Mings,Mings,Aston Villa,Defender,45,0.4,1.0,1.0,1,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.22,4.5
