team_name,squad_size,offensive_synergy_score,defensive_cohesion_score,tactical_adaptability_score,overall_synergy_score
Brighton,33,42.2,20.0,12.73,29.64
Brentford,26,37.24,20.38,16.15,27.97
Arsenal,29,33.02,18.28,13.79,24.75
Man City,30,30.09,20.0,7.83,22.61
Liverpool,35,26.62,19.43,6.14,20.37
Everton,24,23.18,18.75,15.42,20.3
Hull City,36,23.68,20.0,11.39,20.12
Newcastle,27,24.81,20.0,7.78,19.96
Ipswich Town,34,26.51,17.06,7.35,19.84
Sunderland,25,13.41,22.0,6.2,14.55
Bournemouth,28,12.26,19.64,6.25,13.27
Crystal Palace,32,9.67,19.38,3.91,11.43
Leeds,27,3.71,20.0,13.7,10.6
Man Utd,33,7.86,19.09,3.03,10.26
Nott'm Forest,28,3.88,22.86,5.71,9.94
Spurs,37,2.08,21.35,3.38,8.12
Coventry City,33,1.32,19.09,3.33,7.05
Aston Villa,31,1.29,19.68,2.42,7.03
Chelsea,38,0.0,21.84,0.0,6.55
Fulham,23,0.0,19.13,0.0,5.74
